Kp,Km,f,Volume,Surface Area,Projection_1,Projection_2,Projection_3,AvgR,p,K
10.7689,8.6885,0.0925,0.4189,6.5210,0.3142,3.1416,0.3142,0.4642,0.1000,8.8691
17.6929,15.1623,0.3603,0.0168,0.3472,0.0628,0.1257,0.0628,0.1587,0.5000,16.0429
15.0824,17.5505,0.4350,1.8473,7.3588,1.9792,1.5394,1.9792,0.7612,1.2857,16.4477
18.2065,15.8599,0.9801,3.7699,11.7375,2.8274,3.1416,2.8274,0.9655,0.9000,18.1575
3.7984,18.8044,0.4841,0.4021,2.7064,0.7540,0.5027,0.7540,0.4579,1.5000,10.3635
2.1262,6.9990,0.0596,0.3393,5.3110,0.2827,2.5447,0.2827,0.4327,0.1111,6.5717
12.5963,7.3066,0.9952,0.1885,1.6573,0.4712,0.2827,0.4712,0.3557,1.6667,12.5649
19.1507,12.2957,0.6929,0.1340,1.6131,0.5027,0.1257,0.5027,0.3175,4.0000,16.8009
13.9110,19.4297,0.3472,1.2566,7.4202,0.9425,3.1416,0.9425,0.6694,0.3000,17.3804
17.7185,13.9858,0.3269,1.2566,7.4202,0.9425,3.1416,0.9425,0.6694,0.3000,15.1395
1.6834,1.9919,0.2559,1.8766,7.3814,1.7593,2.0106,1.7593,0.7652,0.8750,1.9098
16.8258,14.9237,0.8155,1.3572,6.7271,1.1310,2.5447,1.1310,0.6868,0.4444,16.4629
0.5101,5.4497,0.5248,0.4691,3.0673,0.8796,0.5027,0.8796,0.4820,1.7500,2.4066
14.4870,8.1178,0.0083,0.0168,0.3472,0.0628,0.1257,0.0628,0.1587,0.5000,8.1601
5.5756,6.4141,0.7594,0.3351,2.3530,0.6283,0.5027,0.6283,0.4309,1.2500,5.7706
18.9399,6.1019,0.7411,0.8042,5.0312,0.7540,2.0106,0.7540,0.5769,0.3750,14.3023
12.4617,7.1035,0.5994,2.1447,8.0425,2.0106,2.0106,2.0106,0.8000,1.0000,10.0212
9.4977,7.2310,0.8268,0.3770,3.0574,0.9425,0.2827,0.9425,0.4481,3.3333,9.0725
12.8095,17.7307,0.3501,0.2681,4.2268,0.2513,2.0106,0.2513,0.4000,0.1250,15.8829
17.9128,12.4510,0.9940,0.0335,0.7890,0.2513,0.0314,0.2513,0.2000,8.0000,17.8757
6.7522,4.0092,0.1556,1.0723,5.5554,1.0053,2.0106,1.0053,0.6350,0.5000,4.3688
0.3426,13.4144,0.8982,1.0263,5.0254,1.0996,1.5394,1.0996,0.6257,0.7143,1.2631
0.0901,1.1350,0.4193,0.0838,1.0442,0.3142,0.1257,0.3142,0.2714,2.5000,0.5937
8.7679,16.5777,0.7780,0.5236,3.1416,0.7854,0.7854,0.7854,0.5000,1.0000,10.2823
14.0881,18.5090,0.1643,0.2262,1.9314,0.5655,0.2827,0.5655,0.3780,2.0000,17.7301
4.5081,18.1721,0.7497,0.1676,1.9968,0.6283,0.1257,0.6283,0.3420,5.0000,7.1676
