Kp,Km,f,p,K
16.0203,12.4022,0.2025,0.4286,13.0832
0.5844,3.1201,0.0874,0.6000,2.8222
18.5771,7.9673,0.5731,1.3333,13.0851
14.6066,17.6501,0.4370,1.0000,16.2756
9.7722,10.7803,0.0888,0.9000,10.6881
11.5705,10.8735,0.7757,0.6000,11.4116
4.7457,8.8491,0.7339,1.0000,5.7083
9.1770,3.6749,0.1452,3.0000,4.2497
19.2618,4.9846,0.6158,0.6000,11.4879
10.9361,5.7022,0.7982,0.1429,9.6846
10.4227,10.5902,0.8202,1.0000,10.4527
4.6319,11.1967,0.3686,0.4286,8.4099
9.7780,8.3029,0.8099,0.5000,9.4844
12.4812,18.1136,0.0607,0.3333,17.7329
13.5827,6.1029,0.0908,0.9000,6.5980
7.9103,12.9954,0.8056,0.3333,8.7851
7.3487,5.7756,0.5470,1.7500,6.6023
19.7596,5.1050,0.8951,0.6000,17.0705
0.7548,7.1637,0.1869,2.3333,5.5519
17.7034,16.1184,0.8325,1.5000,17.4306
18.2657,10.7785,0.0626,0.6250,11.1649
15.9237,11.8013,0.6000,1.4286,14.1652
1.9742,4.6228,0.0601,0.3333,4.4242
5.2374,2.0389,0.2335,1.6000,2.5755
6.7071,12.8929,0.2197,1.2500,11.3394
13.5946,19.6028,0.2593,0.3333,17.9108
2.7311,2.0344,0.5993,0.7000,2.4337
14.4245,3.7573,0.6949,0.8750,9.5130
2.1352,0.1877,0.9221,0.4444,1.6464
13.0751,16.7661,0.6556,0.8750,14.2836
9.8835,9.6268,0.6336,0.7778,9.7889
15.5810,9.3706,0.4018,0.4286,11.5857
14.3007,18.1710,0.3578,1.0000,16.7199
18.0744,8.3429,0.4540,3.0000,12.0326
17.8185,10.8828,0.8389,1.6667,16.5111
6.6833,13.9802,0.3900,0.8889,10.7960
13.9749,1.5810,0.8897,1.0000,10.1401
3.9562,10.1883,0.8114,1.2500,4.9283
0.6108,9.7380,0.8223,8.0000,1.7177
14.8815,17.1176,0.8649,0.4444,15.1720
10.0004,12.2881,0.3387,2.0000,11.4797
9.5984,2.3483,0.0633,0.5556,2.5883
18.0944,12.1375,0.2669,1.1667,13.5571
12.1973,3.2836,0.0926,0.8000,3.7383
12.3533,7.9805,0.6713,4.0000,10.7575
17.1888,10.6471,0.9449,2.0000,16.7609
16.1098,17.5042,0.6563,0.2500,16.5805
11.5344,13.1808,0.4164,2.0000,12.4781
3.6584,15.7525,0.2416,0.7143,12.1145
4.7986,2.5205,0.3510,1.1429,3.1895
17.7302,10.4995,0.6997,10.0000,15.2606
0.5735,17.9896,0.4887,0.6250,7.7139
9.7980,2.1817,0.8204,1.0000,7.3497
3.3585,12.6914,0.3300,0.7500,8.9998
19.5736,1.6169,0.0941,1.0000,2.0049
14.2539,8.2246,0.8318,3.0000,13.0506
10.0094,14.2527,0.4267,0.1000,12.3153
9.4218,2.0084,0.2569,2.6667,3.0693
1.1924,16.1989,0.6059,0.5000,5.7206
13.6394,12.7562,0.5771,1.2000,13.2610
0.8486,17.9614,0.9614,0.3000,1.2439
1.4289,12.4364,0.0634,2.5000,11.4475
10.4330,8.2921,0.7194,1.1250,9.7960
1.9346,12.9512,0.9020,1.1250,2.7296
16.3630,9.7854,0.1952,3.3333,10.8814
16.3509,1.8751,0.8977,2.0000,12.3799
14.4488,12.7465,0.8216,0.3000,14.1343
2.9973,19.0052,0.6659,0.3333,6.9996
13.1921,9.5275,0.6567,1.5000,11.8330
10.3719,12.0561,0.5355,0.4286,11.1339
19.4595,11.8297,0.1480,1.2500,12.7847
12.9798,4.5052,0.6154,0.1429,8.9758
16.0066,13.3687,0.3739,0.7000,14.3161
9.0760,3.1310,0.4387,0.4286,5.0998
8.6478,15.4850,0.5992,1.4286,11.1299
16.5063,4.2611,0.8780,3.0000,14.0227
1.6694,3.3825,0.1159,0.5556,3.1480
2.6634,14.5151,0.9857,0.3750,2.7802
3.4678,5.1238,0.8573,3.0000,3.6814
7.8188,3.2553,0.4416,2.3333,4.8720
16.6276,12.5155,0.8316,1.3333,15.8734
16.0673,5.0149,0.2926,0.6667,7.1599
1.2094,5.2596,0.5109,0.7000,2.8877
7.9852,16.8786,0.7512,0.2500,9.8443
10.5375,7.9484,0.3803,1.0000,8.8710
8.3360,2.0916,0.2663,7.0000,3.1699
13.1372,3.8771,0.2626,0.7778,5.4145
12.5595,7.2614,0.5826,0.7500,10.0651
5.8397,17.4907,0.4431,0.4000,11.5206
8.6330,11.9954,0.4465,2.0000,10.4113
0.3097,5.1623,0.9787,1.0000,0.3812
19.6813,7.1686,0.7914,0.1250,16.3171
3.3434,17.7508,0.2115,0.4000,13.7404
2.1243,18.0106,0.9486,0.1667,2.5841
7.4482,8.9590,0.0586,4.0000,8.8655
3.9624,5.3770,0.0239,0.7000,5.3400
9.7938,11.0763,0.2085,0.1667,10.8002
6.7899,3.5770,0.2943,1.0000,4.3575
19.0326,17.1940,0.3660,1.3333,17.8522
18.4066,4.6395,0.8501,1.6667,14.8806
1.0535,3.3621,0.9418,0.4444,1.1564
14.7572,0.5345,0.0638,0.8000,0.6332
5.3824,6.4486,0.4096,1.5000,5.9972
8.4567,11.1033,0.9474,1.2500,8.5853
10.9574,16.4906,0.2229,0.4000,15.1351
